"","N.1","N.2","N.3","P.1","P.2","P.3"
"Glyma.06G158700.Wm82.a2.v1",48,28,15,29,16,8
"Glyma.08G156000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.12G070600.Wm82.a2.v1",8,11,11,5,8,7
"Glyma.19G045200.Wm82.a2.v1",200,192,187,186,193,183
"Glyma.05G050000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.18G292300.Wm82.a2.v1",583,669,497,419,467,426
"Glyma.19G249300.Wm82.a2.v1",22,34,19,11,21,11
"Glyma.13G320700.Wm82.a2.v1",52,42,44,46,54,42
"Glyma.13G143100.Wm82.a2.v1",1,0,3,0,0,2
"Glyma.02G100600.Wm82.a2.v1",73,120,59,98,106,86
"Glyma.05G073900.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.04G166500.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.14G094300.Wm82.a2.v1",42,47,36,36,37,27
"Glyma.08G222700.Wm82.a2.v1",65,51,33,30,40,43
"Glyma.16G056300.Wm82.a2.v1",39,30,23,119,253,144
"Glyma.10G204700.Wm82.a2.v1",4,1,3,6,3,1
"Glyma.15G040900.Wm82.a2.v1",24,32,10,16,14,5
"Glyma.20G248700.Wm82.a2.v1",1,1,2,2,1,2
"Glyma.08G199700.Wm82.a2.v1",264,279,294,228,294,195
"Glyma.16G098500.Wm82.a2.v1",17,20,16,8,10,11
"Glyma.19G192100.Wm82.a2.v1",8,7,3,1,4,5
"Glyma.05G108200.Wm82.a2.v1",1,1,1,3,7,0
"Glyma.13G268600.Wm82.a2.v1",592,646,516,526,683,528
"Glyma.03G145400.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.06G167600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.08G233500.Wm82.a2.v1",303,333,291,150,146,149
"Glyma.01G075100.Wm82.a2.v1",0,0,2,2,4,2
"Glyma.08G212600.Wm82.a2.v1",56,47,48,23,21,19
"Glyma.18G129500.Wm82.a2.v1",1,5,1,0,3,7
"Glyma.07G251300.Wm82.a2.v1",2,1,0,0,2,0
"Glyma.10G116500.Wm82.a2.v1",115,154,108,151,142,95
"Glyma.12G218600.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.10G180600.Wm82.a2.v1",689,648,727,713,900,812
"Glyma.04G220200.Wm82.a2.v1",1571,1662,1298,1302,1164,1248
"Glyma.17G154700.Wm82.a2.v1",26,14,13,13,11,9
"Glyma.13G361800.Wm82.a2.v1",6,1,2,1,3,4
"Glyma.16G191200.Wm82.a2.v1",0,2,0,0,0,0
"Glyma.03G046600.Wm82.a2.v1",13,12,18,19,9,4
"Glyma.15G073500.Wm82.a2.v1",75,83,70,60,111,82
"Glyma.09G006000.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.17G118200.Wm82.a2.v1",20,45,22,26,33,65
"Glyma.13G241500.Wm82.a2.v1",504,525,406,434,490,370
"Glyma.16G127400.Wm82.a2.v1",94,67,48,37,30,38
"Glyma.11G214300.Wm82.a2.v1",58,55,38,40,55,63
"Glyma.11G083700.Wm82.a2.v1",0,0,0,0,0,0
"Glyma.16G163200.Wm82.a2.v1",27,19,9,15,10,8
"Glyma.01G130700.Wm82.a2.v1",13,20,19,7,13,15
"Glyma.10G088500.Wm82.a2.v1",0,0,0,0,1,0
"Glyma.15G120900.Wm82.a2.v1",0,0,1,3,4,2
"Glyma.14G123700.Wm82.a2.v1",37,45,30,30,43,27
"Glyma.10G090500.Wm82.a2.v1",1222,1262,920,857,899,587
"Glyma.18G080000.Wm82.a2.v1",124,164,146,80,55,63
"Glyma.09G155600.Wm82.a2.v1",0,2,1,0,0,1
"Glyma.06G041300.Wm82.a2.v1",2,1,2,2,1,1
"Glyma.02G150100.Wm82.a2.v1",9,10,10,8,28,12
"Glyma.02G311300.Wm82.a2.v1",199,169,167,159,185,143
